Full Room Label,Room Label,Area,Map ID,Room ID,X,Y,W,H,Suffix
"Abandoned Tunnels (X+0, Y+0) - ren1","Abandoned Tunnels (X+0, Y+0) - ren1",Abandoned Tunnels,tunnels,ren1,0,0,1,1,
"Abandoned Tunnels (X+1, Y+0) - ren32","Abandoned Tunnels (X+1, Y+0) - ren32",Abandoned Tunnels,tunnels,ren32,1,0,1,1,
"Abandoned Tunnels (X+0, Y+1) - ren12","Abandoned Tunnels (X+0, Y+1) - ren12",Abandoned Tunnels,tunnels,ren12,0,1,1,1,
"Abandoned Tunnels (X+1, Y+1) - ren22","Abandoned Tunnels (X+1, Y+1) - ren22",Abandoned Tunnels,tunnels,ren22,1,1,1,1,
"Abandoned Tunnels (X+2, Y+1) - ren70","Abandoned Tunnels (X+2, Y+1) - ren70",Abandoned Tunnels,tunnels,ren70,2,1,1,1,
"Abandoned Tunnels (X+4, Y+1) - ren71","Abandoned Tunnels (X+4, Y+1) - ren71",Abandoned Tunnels,tunnels,ren71,4,1,1,1,
"Abandoned Tunnels (X+5, Y+1) - ren50","Abandoned Tunnels (X+5, Y+1) - ren50",Abandoned Tunnels,tunnels,ren50,5,1,1,1,
"Abandoned Tunnels (X+6, Y+1) - ren91","Abandoned Tunnels (X+6, Y+1) - ren91",Abandoned Tunnels,tunnels,ren91,6,1,1,1,
"Abandoned Tunnels (X+0, Y+2) - ren28","Abandoned Tunnels (X+0, Y+2) - ren28",Abandoned Tunnels,tunnels,ren28,0,2,1,1,
"Abandoned Tunnels (X+1, Y+2) - ren76","Abandoned Tunnels (X+1, Y+2) - ren76",Abandoned Tunnels,tunnels,ren76,1,2,1,1,
"Abandoned Tunnels (X+2, Y+2) - ren334","Abandoned Tunnels (X+2, Y+2) - ren334",Abandoned Tunnels,tunnels,ren334,2,2,1,1,
"Abandoned Tunnels (X+3, Y+2) - ren80","Abandoned Tunnels (X+3, Y+2) - ren80",Abandoned Tunnels,tunnels,ren80,3,2,1,1,
"Abandoned Tunnels (X+4, Y+2) - ren349","Abandoned Tunnels (X+4, Y+2) - ren349",Abandoned Tunnels,tunnels,ren349,4,2,1,1,
"Abandoned Tunnels (X+5, Y+2) - ren55","Abandoned Tunnels (X+5, Y+2) - ren55",Abandoned Tunnels,tunnels,ren55,5,2,1,1,
"Abandoned Tunnels (X+6, Y+2) - ren64","Abandoned Tunnels (X+6, Y+2) - ren64",Abandoned Tunnels,tunnels,ren64,6,2,1,1,
"Abandoned Tunnels (X+6, Y+3) - ren106","Abandoned Tunnels (X+6, Y+3) - ren106",Abandoned Tunnels,tunnels,ren106,6,3,1,1,
"Abandoned Tunnels (X+6, Y+4) - ren387","Abandoned Tunnels (X+6, Y+4) - ren387",Abandoned Tunnels,tunnels,ren387,6,4,1,1,
"Abandoned Tunnels (X+7, Y+4) - ren693","Abandoned Tunnels (X+7, Y+4) - ren693",Abandoned Tunnels,tunnels,ren693,7,4,3,1,
"Abandoned Tunnels (X+10, Y+4) - ren422","Abandoned Tunnels (X+10, Y+4) - ren422",Abandoned Tunnels,tunnels,ren422,10,4,1,1,
"Abandoned Tunnels (X+11, Y+4) - ren140","Abandoned Tunnels (X+11, Y+4) - ren140",Abandoned Tunnels,tunnels,ren140,11,4,1,1,
"Canceled Subway Station (X-1, Y-2) - ren899","Canceled Subway Station (X-1, Y-2) - ren899",Canceled Subway Station,subway,ren899,-1,-2,2,4,
"Canceled Subway Station (X-3, Y+1) - ren279","Canceled Subway Station (X-3, Y+1) - ren279",Canceled Subway Station,subway,ren279,-3,1,1,1,
"Canceled Subway Station (X-2, Y+1) - ren32","Canceled Subway Station (X-2, Y+1) - ren32",Canceled Subway Station,subway,ren32,-2,1,1,1,
"Canceled Subway Station (X+1, Y+1) - ren13","Canceled Subway Station (X+1, Y+1) - ren13",Canceled Subway Station,subway,ren13,1,1,1,1,
"Canceled Subway Station (X+2, Y+1) - ren280","Canceled Subway Station (X+2, Y+1) - ren280",Canceled Subway Station,subway,ren280,2,1,1,1,
"Canceled Subway Station (X-3, Y+2) - ren2","Canceled Subway Station (X-3, Y+2) - ren2",Canceled Subway Station,subway,ren2,-3,2,1,2,
"Canceled Subway Station (X-2, Y+2) - ren46","Canceled Subway Station (X-2, Y+2) - ren46",Canceled Subway Station,subway,ren46,-2,2,1,1,
"Canceled Subway Station (X-1, Y+2) - ren162","Canceled Subway Station (X-1, Y+2) - ren162",Canceled Subway Station,subway,ren162,-1,2,2,2,
"Canceled Subway Station (X+1, Y+2) - ren52","Canceled Subway Station (X+1, Y+2) - ren52",Canceled Subway Station,subway,ren52,1,2,1,1,
"Canceled Subway Station (X+2, Y+2) - ren1305","Canceled Subway Station (X+2, Y+2) - ren1305",Canceled Subway Station,subway,ren1305,2,2,1,1,
"Canceled Subway Station (X-2, Y+3) - ren71","Canceled Subway Station (X-2, Y+3) - ren71",Canceled Subway Station,subway,ren71,-2,3,1,1,
"Canceled Subway Station (X+1, Y+3) - ren64","Canceled Subway Station (X+1, Y+3) - ren64",Canceled Subway Station,subway,ren64,1,3,1,1,
"Canceled Subway Station (X+2, Y+3) - ren158","Canceled Subway Station (X+2, Y+3) - ren158",Canceled Subway Station,subway,ren158,2,3,1,1,
"Canceled Subway Station (X-4, Y+4) - ren306","Canceled Subway Station (X-4, Y+4) - ren306",Canceled Subway Station,subway,ren306,-4,4,1,1,
"Canceled Subway Station (X-3, Y+4) - ren468","Canceled Subway Station (X-3, Y+4) - ren468",Canceled Subway Station,subway,ren468,-3,4,1,1,
"Canceled Subway Station (X-2, Y+4) - ren58","Canceled Subway Station (X-2, Y+4) - ren58",Canceled Subway Station,subway,ren58,-2,4,1,1,
"Canceled Subway Station (X-1, Y+4) - ren83","Canceled Subway Station (X-1, Y+4) - ren83",Canceled Subway Station,subway,ren83,-1,4,2,1,
"Canceled Subway Station (X+1, Y+4) - ren108","Canceled Subway Station (X+1, Y+4) - ren108",Canceled Subway Station,subway,ren108,1,4,1,1,
"Canceled Subway Station (X+2, Y+4) - ren157","Canceled Subway Station (X+2, Y+4) - ren157",Canceled Subway Station,subway,ren157,2,4,2,2,
"Canceled Subway Station (X-4, Y+5) - ren317","Canceled Subway Station (X-4, Y+5) - ren317",Canceled Subway Station,subway,ren317,-4,5,2,1,
"Canceled Subway Station (X-2, Y+5) - ren703","Canceled Subway Station (X-2, Y+5) - ren703",Canceled Subway Station,subway,ren703,-2,5,1,1,
"Canceled Subway Station (X-1, Y+5) - ren1122","Canceled Subway Station (X-1, Y+5) - ren1122",Canceled Subway Station,subway,ren1122,-1,5,1,1,
"Canceled Subway Station (X+0, Y+5) - ren1089","Canceled Subway Station (X+0, Y+5) - ren1089",Canceled Subway Station,subway,ren1089,0,5,1,1,
"Canceled Subway Station (X+1, Y+5) - ren969","Canceled Subway Station (X+1, Y+5) - ren969",Canceled Subway Station,subway,ren969,1,5,1,1,
"Canceled Subway Station (X-2, Y+6) - ren123","Canceled Subway Station (X-2, Y+6) - ren123",Canceled Subway Station,subway,ren123,-2,6,4,1,
"Cinemeco Movie Theater (X-3, Y-4) - ren276","Cinemeco Movie Theater (X-3, Y-4) - ren276",Cinemeco Movie Theater,cinema,ren276,-3,-4,1,2,
"Cinemeco Movie Theater (X-2, Y-4) - ren294","Cinemeco Movie Theater (X-2, Y-4) - ren294",Cinemeco Movie Theater,cinema,ren294,-2,-4,3,1,
"Cinemeco Movie Theater (X+1, Y-4) - ren225","Cinemeco Movie Theater (X+1, Y-4) - ren225",Cinemeco Movie Theater,cinema,ren225,1,-4,3,1,
"Cinemeco Movie Theater (X+4, Y-4) - ren100","Cinemeco Movie Theater (X+4, Y-4) - ren100",Cinemeco Movie Theater,cinema,ren100,4,-4,1,2,
"Cinemeco Movie Theater (X-2, Y-3) - ren431","Cinemeco Movie Theater (X-2, Y-3) - ren431",Cinemeco Movie Theater,cinema,ren431,-2,-3,1,1,
"Cinemeco Movie Theater (X-1, Y-3) - ren217","Cinemeco Movie Theater (X-1, Y-3) - ren217",Cinemeco Movie Theater,cinema,ren217,-1,-3,1,1,
"Cinemeco Movie Theater (X+0, Y-3) - ren114","Cinemeco Movie Theater (X+0, Y-3) - ren114",Cinemeco Movie Theater,cinema,ren114,0,-3,1,2,
"Cinemeco Movie Theater (X+1, Y-3) - ren2","Cinemeco Movie Theater (X+1, Y-3) - ren2",Cinemeco Movie Theater,cinema,ren2,1,-3,1,2,
"Cinemeco Movie Theater (X+2, Y-3) - ren75","Cinemeco Movie Theater (X+2, Y-3) - ren75",Cinemeco Movie Theater,cinema,ren75,2,-3,1,1,
"Cinemeco Movie Theater (X+3, Y-3) - ren652","Cinemeco Movie Theater (X+3, Y-3) - ren652",Cinemeco Movie Theater,cinema,ren652,3,-3,1,1,
"Cinemeco Movie Theater (X-3, Y-2) - ren271","Cinemeco Movie Theater (X-3, Y-2) - ren271",Cinemeco Movie Theater,cinema,ren271,-3,-2,1,1,
"Cinemeco Movie Theater (X-2, Y-2) - ren244","Cinemeco Movie Theater (X-2, Y-2) - ren244",Cinemeco Movie Theater,cinema,ren244,-2,-2,1,1,
"Cinemeco Movie Theater (X-1, Y-2) - ren221","Cinemeco Movie Theater (X-1, Y-2) - ren221",Cinemeco Movie Theater,cinema,ren221,-1,-2,1,1,
"Cinemeco Movie Theater (X+2, Y-2) - ren252","Cinemeco Movie Theater (X+2, Y-2) - ren252",Cinemeco Movie Theater,cinema,ren252,2,-2,1,1,
"Cinemeco Movie Theater (X+3, Y-2) - ren261","Cinemeco Movie Theater (X+3, Y-2) - ren261",Cinemeco Movie Theater,cinema,ren261,3,-2,1,1,
"Cinemeco Movie Theater (X+4, Y-2) - ren85","Cinemeco Movie Theater (X+4, Y-2) - ren85",Cinemeco Movie Theater,cinema,ren85,4,-2,1,1,
"Cinemeco Movie Theater (X-1, Y-1) - ren215","Cinemeco Movie Theater (X-1, Y-1) - ren215",Cinemeco Movie Theater,cinema,ren215,-1,-1,1,1,
"Cinemeco Movie Theater (X+0, Y-1) - ren189","Cinemeco Movie Theater (X+0, Y-1) - ren189",Cinemeco Movie Theater,cinema,ren189,0,-1,2,1,
"Cinemeco Movie Theater (X+0, Y+0) - ren475","Cinemeco Movie Theater (X+0, Y+0) - ren475",Cinemeco Movie Theater,cinema,ren475,0,0,2,1,
"Escape House (X-2, Y-4) - lor107","Escape House (X-2, Y-4) - lor107",Escape House,escapehouse,lor107,-2,-4,1,1,
"Escape House (X-1, Y-4) - lor38","Escape House (X-1, Y-4) - lor38",Escape House,escapehouse,lor38,-1,-4,3,1,
"Escape House (X+2, Y-4) - lor69","Escape House (X+2, Y-4) - lor69",Escape House,escapehouse,lor69,2,-4,1,1,
"Escape House (X-2, Y-3) - lor112","Escape House (X-2, Y-3) - lor112",Escape House,escapehouse,lor112,-2,-3,1,1,
"Escape House (X-1, Y-3) - ren1054","Escape House (X-1, Y-3) - ren1054",Escape House,escapehouse,ren1054,-1,-3,1,1,
"Escape House (X+0, Y-3) - lor89","Escape House (X+0, Y-3) - lor89",Escape House,escapehouse,lor89,0,-3,2,1,
"Escape House (X+2, Y-3) - lor124","Escape House (X+2, Y-3) - lor124",Escape House,escapehouse,lor124,2,-3,1,1,
"Escape House (X-2, Y-2) - lor34","Escape House (X-2, Y-2) - lor34",Escape House,escapehouse,lor34,-2,-2,1,2,
"Escape House (X-1, Y-2) - lor33","Escape House (X-1, Y-2) - lor33",Escape House,escapehouse,lor33,-1,-2,1,2,
"Escape House (X+0, Y-2) - lor74","Escape House (X+0, Y-2) - lor74",Escape House,escapehouse,lor74,0,-2,1,1,
"Escape House (X+1, Y-2) - lor76","Escape House (X+1, Y-2) - lor76",Escape House,escapehouse,lor76,1,-2,1,1,
"Escape House (X+2, Y-2) - lor31","Escape House (X+2, Y-2) - lor31",Escape House,escapehouse,lor31,2,-2,1,1,
"Escape House (X+0, Y-1) - lor10","Escape House (X+0, Y-1) - lor10",Escape House,escapehouse,lor10,0,-1,1,1,
"Escape House (X+1, Y-1) - lor29","Escape House (X+1, Y-1) - lor29",Escape House,escapehouse,lor29,1,-1,1,1,
"Escape House (X+2, Y-1) - lor30","Escape House (X+2, Y-1) - lor30",Escape House,escapehouse,lor30,2,-1,1,1,
"FadaFest Convention (X+2, Y-11) - yug167","FadaFest Convention (X+2, Y-11) - yug167",FadaFest Convention,dungeon3,yug167,2,-11,1,1,
"FadaFest Convention (X+3, Y-11) - yug301","FadaFest Convention (X+3, Y-11) - yug301",FadaFest Convention,dungeon3,yug301,3,-11,1,1,
"FadaFest Convention (X+4, Y-11) - ren891","FadaFest Convention (X+4, Y-11) - ren891",FadaFest Convention,dungeon3,ren891,4,-11,1,1,
"FadaFest Convention (X+5, Y-11) - yug211","FadaFest Convention (X+5, Y-11) - yug211",FadaFest Convention,dungeon3,yug211,5,-11,1,1,
"FadaFest Convention (X+0, Y-10) - yug762","FadaFest Convention (X+0, Y-10) - yug762",FadaFest Convention,dungeon3,yug762,0,-10,2,2,
"FadaFest Convention (X+2, Y-10) - yug37","FadaFest Convention (X+2, Y-10) - yug37",FadaFest Convention,dungeon3,yug37,2,-10,1,1,
"FadaFest Convention (X+3, Y-10) - yug30","FadaFest Convention (X+3, Y-10) - yug30",FadaFest Convention,dungeon3,yug30,3,-10,1,1,
"FadaFest Convention (X+4, Y-10) - yug204","FadaFest Convention (X+4, Y-10) - yug204",FadaFest Convention,dungeon3,yug204,4,-10,1,1,
"FadaFest Convention (X+5, Y-10) - yug24","FadaFest Convention (X+5, Y-10) - yug24",FadaFest Convention,dungeon3,yug24,5,-10,1,1,
"FadaFest Convention (X+6, Y-10) - lor331","FadaFest Convention (X+6, Y-10) - lor331",FadaFest Convention,dungeon3,lor331,6,-10,1,1,
"FadaFest Convention (X+7, Y-10) - yug193","FadaFest Convention (X+7, Y-10) - yug193",FadaFest Convention,dungeon3,yug193,7,-10,1,1,
"FadaFest Convention (X+2, Y-9) - yug171","FadaFest Convention (X+2, Y-9) - yug171",FadaFest Convention,dungeon3,yug171,2,-9,1,1,
"FadaFest Convention (X+3, Y-9) - yug15","FadaFest Convention (X+3, Y-9) - yug15",FadaFest Convention,dungeon3,yug15,3,-9,1,3,
"FadaFest Convention (X+4, Y-9) - yug80","FadaFest Convention (X+4, Y-9) - yug80",FadaFest Convention,dungeon3,yug80,4,-9,2,1,
"FadaFest Convention (X+6, Y-9) - yug284","FadaFest Convention (X+6, Y-9) - yug284",FadaFest Convention,dungeon3,yug284,6,-9,1,1,
"FadaFest Convention (X+7, Y-9) - yug149","FadaFest Convention (X+7, Y-9) - yug149",FadaFest Convention,dungeon3,yug149,7,-9,1,1,
