Room Label,Type,Map Name,Name,Location,Object Ids,✅,❌,Edit,Rules,Rule 1,Rule 2,Rule 3,Rule 4,Rule 5,Rule 6,Rule 7,"Badge (SS[+], Moon, Turret, Wing)",Offstring Throw,Walk-the-Dog,Wall-Dash,UFO Throw,Wall Ride,"Move (Sleeper+AtW/Parry, Coin-Flip[+Prodigy], Cat's Cradle)",Other,Notes
"Abandoned Tunnels (X+2, Y+1) - ren70",Location,Badge (Cheater's Teleportation),Badge (Cheater's Teleportation),Abandoned Tunnels,lor230,FALSE,FALSE,8/31/2026 17:07:08,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Abandoned Tunnels (X+0, Y+2) - ren28",Event,Battery 1,,Abandoned Tunnels,,FALSE,FALSE,8/31/2026 17:07:09,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Abandoned Tunnels (X+1, Y+0) - ren32",Event,Battery 2,,Abandoned Tunnels,,FALSE,FALSE,8/31/2026 17:07:10,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Abandoned Tunnels (X+6, Y+1) - ren91",Event,Battery 3,,Abandoned Tunnels,,FALSE,FALSE,8/31/2026 17:07:10,FALSE,,,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Abandoned Tunnels (X+5, Y+2) - ren55",Event,Battery 4,,Abandoned Tunnels,,FALSE,FALSE,8/31/2026 17:07:10,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Abandoned Tunnels (X+7, Y+4) - ren693",Event,Battery 5,,Abandoned Tunnels,,FALSE,FALSE,8/31/2026 17:07:11,FALSE,,,,,,,,FALSE,TRUE,TRUE,Skipping Stone+,FALSE,Skipping Stone,FALSE,FALSE,
"Abandoned Tunnels (X+1, Y+0) - ren32",Location,Combat 1,,Abandoned Tunnels,"ren564,ren565",FALSE,FALSE,8/31/2026 17:07:11,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2x rose + 2x coin
"Abandoned Tunnels (X+2, Y+2) - ren334",Location,Combat 2 (optional),,Abandoned Tunnels,ren772,FALSE,FALSE,8/31/2026 17:07:11,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 moneybag
"Abandoned Tunnels (X+10, Y+4) - ren422",Location,Combat 3,,Abandoned Tunnels,lor214,FALSE,FALSE,8/31/2026 17:07:11,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1x moneybag + 10x coin
"Abandoned Tunnels (X+2, Y+1) - ren70",Location,Diamond 1,,Abandoned Tunnels,lor236,FALSE,FALSE,8/31/2026 17:07:14,FALSE,,,,,,,,,,,,,,,,Requires Cheater's badge
